iter	Passed	Remaining
0	0	877
1	1	851
2	2	845
3	3	832
4	4	821
5	5	828
6	5	810
7	6	845
8	8	885
9	9	895
10	9	891
11	10	881
12	11	877
13	12	871
14	13	864
15	13	856
16	14	849
17	15	843
18	16	844
19	17	838
20	17	833
21	18	829
22	19	823
23	20	817
24	20	816
25	21	823
26	23	837
27	25	884
28	26	882
29	27	880
30	28	877
31	28	873
32	29	870
33	30	867
34	31	862
35	32	859
36	32	854
37	33	851
38	34	849
39	35	845
40	36	844
41	37	848
42	38	847
43	38	845
44	39	844
45	40	842
46	41	841
47	42	839
48	43	837
49	43	834
50	44	831
51	45	829
52	46	826
53	47	824
54	47	821
55	48	819
56	49	818
57	50	817
58	51	815
59	52	819
60	53	824
61	54	830
62	55	830
63	57	834
64	57	832
65	58	830
66	59	828
67	60	826
68	61	824
69	61	822
70	62	820
71	63	818
72	64	816
73	65	814
74	65	811
75	66	810
76	67	813
77	68	813
78	70	817
79	71	816
80	71	816
81	72	815
82	73	811
83	74	809
84	75	807
85	76	808
86	76	807
87	77	806
88	78	805
89	79	805
90	80	805
91	81	807
92	83	810
93	84	812
94	85	817
95	88	828
96	88	827
97	89	827
98	90	826
99	91	826
100	92	824
101	93	822
102	94	820
103	95	819
104	97	829
105	98	829
106	99	827
107	100	826
108	101	829
109	102	830
110	103	829
111	104	828
112	105	826
113	106	825
114	106	823
115	107	821
116	108	818
117	109	816
118	110	815
119	111	817
120	112	819
121	115	830
122	117	835
123	118	833
124	119	834
125	120	834
126	120	831
127	122	831
128	128	868
129	131	883
130	136	908
131	138	912
132	140	912
133	144	934
134	145	935
135	147	936
136	152	962
137	153	961
138	155	961
139	156	964
140	159	969
141	160	968
142	161	967
143	163	969
144	164	968
145	166	972
146	167	971
147	168	970
148	176	1006
149	181	1031
150	183	1034
151	185	1034
152	188	1044
153	190	1046
154	191	1045
155	193	1049
156	195	1049
157	198	1056
158	199	1054
159	200	1050
160	201	1048
161	203	1050
162	206	1059
163	208	1064
164	210	1064
165	211	1063
