iter	Passed	Remaining
0	146	146612
1	147	73780
2	148	49426
3	149	37238
4	150	29934
5	151	25080
6	152	21668
7	153	19077
8	154	17041
9	155	15441
10	157	14119
11	158	13009
12	158	12068
13	159	11258
14	160	10563
15	161	9951
16	162	9410
17	163	8925
18	164	8492
19	165	8105
20	170	7939
21	171	7617
22	172	7324
23	173	7050
24	174	6794
25	175	6561
26	176	6343
27	176	6143
28	177	5958
29	178	5786
30	179	5624
31	181	5479
32	182	5343
33	183	5211
34	184	5093
35	186	4982
36	188	4893
37	189	4785
38	189	4681
39	190	4583
40	191	4487
41	192	4395
42	193	4306
43	194	4223
44	196	4167
45	205	4269
46	206	4195
47	207	4123
48	208	4053
49	210	3998
50	211	3940
51	212	3881
52	214	3824
53	215	3769
54	217	3740
55	218	3689
56	219	3636
57	220	3584
58	221	3536
59	222	3488
60	223	3443
61	228	3451
62	231	3440
63	232	3403
64	234	3366
65	234	3325
66	235	3285
67	236	3241
68	237	3207
69	238	3174
70	240	3144
71	241	3108
72	242	3081
73	245	3066
74	276	3413
75	278	3384
76	279	3351
77	281	3323
78	282	3291
79	283	3258
80	284	3227
81	288	3229
82	303	3349
83	304	3321
84	305	3287
85	306	3257
86	309	3251
87	311	3229
88	312	3202
89	322	3265
90	326	3257
91	327	3236
92	331	3231
93	333	3210
94	334	3186
95	335	3162
96	337	3137
97	338	3113
98	339	3089
99	340	3065
100	341	3043
101	342	3015
102	343	2992
103	344	2969
104	346	2949
105	347	2931
106	348	2910
107	350	2892
108	355	2907
109	357	2890
110	358	2870
111	359	2851
112	360	2832
113	363	2827
114	365	2809
115	365	2788
116	366	2768
117	367	2749
118	369	2732
119	371	2724
120	375	2724
121	382	2753
122	383	2736
123	386	2727
124	388	2717
125	389	2701
126	390	2684
127	394	2689
128	396	2673
129	400	2678
130	401	2664
131	402	2648
132	403	2633
133	405	2619
134	406	2603
135	408	2594
136	412	2598
137	413	2584
138	414	2569
139	415	2554
140	417	2542
141	418	2528
142	419	2514
143	420	2499
144	421	2485
145	425	2490
146	426	2477
147	428	2466
148	429	2452
149	430	2439
150	431	2425
151	432	2412
152	434	2405
153	435	2392
154	436	2379
155	439	2379
156	441	2372
157	443	2364
158	444	2351
159	445	2340
160	446	2329
161	447	2316
162	448	2304
163	450	2296
164	451	2287
165	454	2283
166	455	2272
167	456	2262
168	457	2251
169	459	2242
170	460	2231
171	461	2221
172	462	2210
173	463	2199
174	464	2188
175	465	2177
176	466	2167
177	466	2156
178	469	2153
179	471	2149
180	474	2147
181	475	2139
182	476	2129
183	478	2120
184	479	2110
185	480	2100
186	481	2092
187	482	2083
188	485	2084
189	491	2096
190	493	2088
191	493	2078
192	495	2069
193	497	2067
194	501	2068
195	507	2082
196	508	2074
197	510	2067
198	511	2059
199	512	2050
200	513	2041
201	517	2042
202	518	2033
203	519	2027
204	521	2021
205	522	2013
206	523	2006
207	525	2001
208	526	1993
209	527	1985
210	531	1986
211	532	1978
212	534	1974
213	537	1973
214	538	1966
215	539	1958
216	540	1950
217	541	1942
218	542	1935
219	543	1928
220	546	1925
221	547	1918
222	548	1911
223	549	1903
224	551	1901
225	553	1895
226	554	1888
227	555	1881
228	556	1873
229	557	1866
230	558	1858
231	559	1851
232	562	1851
233	564	1847
234	565	1841
235	568	1838
236	569	1832
237	570	1826
238	571	1820
239	574	1820
240	576	1814
241	578	1811
242	579	1804
243	580	1799
244	582	1794
245	583	1788
246	584	1782
247	585	1776
248	586	1770
249	595	1786
250	596	1780
251	597	1773
252	598	1767
253	599	1760
254	600	1754
255	601	1748
256	602	1742
257	605	1742
258	606	1735
259	608	1730
260	608	1724
261	610	1719
262	611	1713
263	613	1709
264	614	1705
265	615	1699
266	616	1693
267	617	1687
268	623	1694
269	625	1689
270	626	1685
271	628	1681
272	629	1675
273	630	1669
274	631	1664
275	632	1659
276	634	1656
277	636	1652
278	637	1647
279	638	1641
280	640	1637
281	641	1632
282	642	1627
283	643	1621
284	644	1616
285	645	1610
286	646	1605
287	647	1599
288	648	1594
289	653	1600
290	654	1595
291	656	1590
292	657	1585
293	658	1580
294	658	1574
295	659	1569
296	660	1564
297	661	1558
298	662	1553
299	663	1548
300	665	1546
301	666	1541
302	667	1536
303	670	1535
304	671	1530
305	672	1525
306	673	1520
307	674	1515
308	675	1510
309	676	1505
310	677	1500
311	678	1495
312	679	1490
313	680	1487
314	681	1482
315	682	1477
316	684	1473
317	685	1469
318	686	1464
319	687	1460
320	688	1455
321	689	1451
322	690	1446
323	691	1442
324	692	1437
325	693	1433
326	694	1429
327	696	1427
328	697	1422
329	698	1418
330	699	1413
331	700	1409
332	701	1405
333	702	1400
334	703	1396
335	704	1392
336	705	1388
337	706	1384
338	707	1379
339	708	1375
340	709	1371
341	710	1367
342	711	1363
343	712	1359
344	713	1355
345	715	1351
346	715	1347
347	716	1343
348	717	1338
349	718	1334
350	719	1329
351	720	1325
352	721	1321
353	722	1317
354	722	1313
355	724	1310
356	725	1306
357	726	1302
358	726	1297
359	727	1293
360	728	1290
361	730	1286
362	731	1283
363	732	1279
364	733	1275
365	734	1271
366	734	1267
367	735	1263
368	736	1259
369	740	1260
370	743	1259
371	743	1255
372	744	1252
373	745	1248
374	746	1244
375	747	1240
376	748	1237
377	749	1233
378	750	1229
379	751	1225
380	752	1222
381	753	1218
382	754	1215
383	755	1211
384	756	1208
385	757	1204
386	758	1201
387	759	1198
388	760	1194
389	761	1191
390	762	1187
391	763	1184
392	764	1180
393	765	1177
394	766	1173
395	767	1170
396	767	1166
397	769	1164
398	772	1162
399	773	1160
400	774	1157
401	776	1154
402	776	1151
403	777	1147
404	779	1145
405	781	1142
406	782	1140
407	784	1137
408	785	1135
409	794	1142
410	796	1141
411	797	1138
412	806	1146
413	808	1144
414	810	1142
415	812	1139
416	813	1137
417	814	1134
418	816	1132
419	817	1129
420	818	1126
421	819	1122
422	821	1119
423	822	1117
424	823	1114
425	825	1111
426	826	1108
427	827	1105
428	828	1102
429	829	1099
430	832	1098
431	834	1097
432	835	1094
433	837	1091
434	838	1089
435	839	1086
436	841	1083
437	848	1088
438	850	1087
439	854	1086
440	855	1084
441	857	1082
442	858	1079
443	865	1083
444	867	1081
445	869	1079
446	870	1077
447	871	1074
448	873	1071
449	874	1068
450	882	1073
451	883	1071
452	886	1070
453	888	1067
454	889	1065
455	890	1062
